year,F21,F22,F29,F3,instant_access,locked_yield,total,instant_share,yield_share,bonds_share
2002,88902.6,64570.6,73911.5,84059.1,153473.2,157970.6,536319.5,28.616002215097534,29.45456952432272,15.673325321939627
2003,56918.4,89774.8,78343.0,4105.1,146693.2,82448.1,564583.9,25.98253333118426,14.603338848309349,0.7271018532409445
2004,56374.8,92421.6,113920.5,76784.5,148796.40000000002,190705.0,573181.1,25.95975338335476,33.27133431301207,13.396202352101282
2005,43135.9,149922.7,71204.1,29805.6,193058.6,101009.70000000001,674100.7,28.639430280965442,14.984363612142818,4.421535239467931
2006,38601.1,86734.9,168775.3,77582.9,125336.0,246358.19999999998,660059.2,18.988599810441247,37.323652181501295,11.753930556531898
2007,16006.1,31724.6,271287.8,110244.1,47730.7,381531.9,597745.2,7.9851247655355495,63.8285175690244,18.44332668836153
2008,18870.9,24396.0,337206.2,40927.3,43266.9,378133.5,475505.3,9.099141481703779,79.52245747839194,8.607117523190594
2009,22709.2,234828.9,-86010.2,-44528.7,257538.1,-130538.9,536227.3,48.0277859780731,-24.343948918676833,-8.304071799402976
2010,19144.7,68073.1,68314.8,-53837.0,87217.8,14477.800000000003,504582.4,17.285145102167654,2.869263771387984,-10.669615111426795
2011,25252.1,9949.0,128437.5,79746.4,35201.1,208183.9,379629.80000000005,9.27248071674036,54.83866124313739,21.006359353243603
2012,-8995.2,89698.9,136957.7,-112144.0,80703.7,24813.70000000001,248588.8,32.4647369471191,9.981825408063441,-45.11224962669276
2013,6765.6,174683.0,-23570.6,-132578.0,181448.6,-156148.6,299240.8,60.636316972819216,-52.18158753752831,-44.30478731509874
2014,12717.5,206691.1,-57292.1,-203139.8,219408.6,-260431.9,368580.69999999995,59.5279676879446,-70.65804042371182,-55.114063216006706
2015,47872.5,288081.6,-137499.2,-170759.7,335954.1,-308258.9,460333.3,72.98062078063873,-66.96428435657383,-37.09479631388822
2016,23007.6,345080.2,-68566.2,-130930.3,368087.8,-199496.5,484131.69999999995,76.03050987985294,-41.20707237307535,-27.04435590563477
2017,21753.9,294046.0,-70706.6,-93662.8,315799.9,-164369.40000000002,525353.2,60.11192089436213,-31.287408166543962,-17.82853897149575
2018,27273.5,305250.9,-10882.4,-18576.6,332524.4,-29459.0,530121.1000000001,62.7261205034095,-5.557032157369324,-3.5042181871274307
2019,36834.4,350582.1,38647.8,-52490.9,387416.5,-13843.099999999999,654281.3,59.2125283115993,-2.115771916452449,-8.022680764374588
2020,125719.2,559949.9,42156.3,-43574.3,685669.1,-1418.0,1115626.6,61.46044742927427,-0.1271034591681482,-3.9058140062275313
2021,92406.5,410656.0,-3099.9,-40378.1,503062.5,-43478.0,1027221.0,48.973151833928625,-4.232584808916484,-3.930809436333564
2022,53431.3,183224.9,98776.2,95740.3,236656.2,194516.5,732657.2,32.30108159723265,26.549455871040372,13.06754372986439
2023,10830.9,-434354.4,527504.2,310695.8,-423523.5,838200.0,619494.0,-68.36603744346192,135.30397388836695,50.15315725414612
2024,29840.5,31464.1,279712.4,70671.5,61304.6,350383.9,821079.2,7.466344294192327,42.67358130616389,8.607147763577498
2025,59586.2,281737.8,9188.0,30523.7,341324.0,39711.7,906537.4,37.65139750439419,4.380591468151231,3.3670646131091777
