date,value
1999-01-01,14.33
1999-04-01,14.11
1999-07-01,13.71
1999-10-01,13.12
2000-01-01,12.78
2000-04-01,12.93
2000-07-01,13.19
2000-10-01,13.34
2001-01-01,13.37
2001-04-01,13.29
2001-07-01,14.03
2001-10-01,13.97
2002-01-01,13.81
2002-04-01,14.27
2002-07-01,13.77
2002-10-01,14.09
2003-01-01,14.16
2003-04-01,13.88
2003-07-01,14.18
2003-10-01,13.74
2004-01-01,13.97
2004-04-01,13.89
2004-07-01,14.1
2004-10-01,13.39
2005-01-01,13.21
2005-04-01,12.94
2005-07-01,12.64
2005-10-01,12.87
2006-01-01,12.58
2006-04-01,12.53
2006-07-01,13.04
2006-10-01,13.26
2007-01-01,12.75
2007-04-01,12.61
2007-07-01,12.57
2007-10-01,12.77
2008-01-01,12.44
2008-04-01,12.83
2008-07-01,12.85
2008-10-01,13.78
2009-01-01,14.02
2009-04-01,14.33
2009-07-01,14.24
2009-10-01,14.03
2010-01-01,13.34
2010-04-01,13.16
2010-07-01,12.99
2010-10-01,12.41
2011-01-01,12.37
2011-04-01,12.56
2011-07-01,12.2
2011-10-01,12.82
2012-01-01,11.98
2012-04-01,12.36
2012-07-01,11.98
2012-10-01,11.63
2013-01-01,12.12
2013-04-01,12.17
2013-07-01,11.95
2013-10-01,12.29
2014-01-01,12.32
2014-04-01,12.07
2014-07-01,12.58
2014-10-01,12.32
2015-01-01,12.58
2015-04-01,12.38
2015-07-01,12.48
2015-10-01,12.62
2016-01-01,12.73
2016-04-01,12.56
2016-07-01,12.65
2016-10-01,12.23
2017-01-01,12.27
2017-04-01,12.46
2017-07-01,12.44
2017-10-01,12.62
2018-01-01,12.23
2018-04-01,12.44
2018-07-01,12.48
2018-10-01,12.82
2019-01-01,13.35
2019-04-01,13.14
2019-07-01,12.91
2019-10-01,12.66
2020-01-01,17.08
2020-04-01,25.1
2020-07-01,16.52
2020-10-01,19.11
2021-01-01,20.43
2021-04-01,18.81
2021-07-01,15.06
2021-10-01,14.98
2022-01-01,14.22
2022-04-01,12.81
2022-07-01,13.31
2022-10-01,13.47
2023-01-01,13.77
2023-04-01,13.93
2023-07-01,14.15
2023-10-01,14.84
2024-01-01,15.15
2024-04-01,15.23
2024-07-01,15.02
2024-10-01,14.81
2025-01-01,15.06
2025-04-01,15.14
2025-07-01,14.78
2025-10-01,14.42
