year,T1,T2,T3,T4,total,T1_share,T2_share,T3_share,T4_share,narrow_cash_share,broad_liquid_share
2002,153473.2,74687.0,106429.6,165524.7,536319.5,28.616002215097534,13.925840846734083,19.844439741609246,30.863076953196746,28.616002215097534,62.386282803440864
2003,146693.2,51252.8,143637.2,187771.4,564583.9,25.98253333118426,9.077977604391481,25.441249741623878,33.258369570935336,25.98253333118426,60.50176067719962
2004,148796.40000000002,118943.7,36715.00000000001,275997.60000000003,573181.1,25.95975338335476,20.751504193002877,6.405479873638543,48.151901728790435,25.95975338335476,53.11673744999618
2005,193058.6,71275.40000000001,91445.1,289473.10000000003,674100.7,28.639430280965442,10.573405427408696,13.565495481609796,42.94211532490621,28.639430280965442,52.77833118998393
2006,125336.0,202913.8,37102.6,303122.0,660059.2,18.988599810441247,30.741757709005498,5.62110186480243,45.92345656268408,18.988599810441247,55.35145938424917
2007,47730.7,285298.89999999997,8080.1999999999825,262639.8,597745.2,7.9851247655355495,47.72918293614068,1.3517799891994087,43.938420584556766,7.9851247655355495,57.06608769087564
2008,43266.9,355662.9,-124302.30000000002,113272.4,475505.3,9.099141481703779,74.7968319175412,-26.141096639722,23.82148001294623,9.099141481703779,57.75487675952298
2009,257538.1,-168743.9,72089.1,299231.1,536227.3,48.0277859780731,-31.468726042109378,13.443757898935768,55.803033527013625,48.0277859780731,30.00281783489949
2010,87217.8,64183.200000000004,-46295.0,325939.0,504582.4,17.285145102167654,12.72006316510445,-9.174913750459785,64.5957924810695,17.285145102167654,20.830294516812316
2011,35201.1,150826.9,29130.5,111530.6,379629.80000000005,9.27248071674036,39.72999485288035,7.673396556329349,29.378779010499173,9.27248071674036,56.675872125950065
2012,80703.7,128904.40000000001,-71616.79999999999,151884.9,248588.8,32.4647369471191,51.854468101539574,-28.809342979249262,61.09885079295608,32.4647369471191,55.50986206940941
2013,181448.6,-45116.2,-74095.2,207548.7,299240.8,60.636316972819216,-15.07688791100679,-24.76106199422004,69.35842304926334,60.636316972819216,20.798367067592384
2014,219408.6,-68384.1,-10282.899999999994,215131.6,368580.69999999995,59.5279676879446,-18.553358870933835,-2.7898639293918523,58.36757052119116,59.5279676879446,38.18474488761892
2015,335954.1,-150372.5,-31285.899999999994,305226.8,460333.3,72.98062078063873,-32.66600526183963,-6.796358203936147,66.30560943559807,72.98062078063873,33.51825731486296
2016,368087.8,-70609.09999999999,-74330.6,271228.2,484131.69999999995,76.03050987985294,-14.584688422592446,-15.353384213427878,56.023639848413154,76.03050987985294,46.09243724383261
2017,315799.9,-71042.90000000001,79813.99999999999,178530.40000000002,525353.2,60.11192089436213,-13.522883271673232,15.192445767913851,33.98292805678162,60.11192089436213,61.78148339060275
2018,332524.4,-12763.699999999999,28261.8,161526.7,530121.1000000001,62.7261205034095,-2.407695147391794,5.331196966127172,30.469773793195554,62.7261205034095,65.64962232214488
2019,387416.5,37069.600000000006,2086.7000000000044,182993.5,654281.3,59.2125283115993,5.665697613549402,0.31893009933189354,27.968627561264547,59.2125283115993,65.19715602448059
2020,685669.1,39725.5,142553.0,188167.2,1115626.6,61.46044742927427,3.560824024812603,12.777841618333587,16.86650354159716,61.46044742927427,77.79911307242045
2021,503062.5,-3315.1,214999.69999999998,231707.7,1027221.0,48.973151833928625,-0.3227251000514982,20.930228256626375,22.556752636482315,48.973151833928625,69.5806549905035
2022,236656.2,110092.3,207358.59999999998,156582.3,732657.2,32.30108159723265,15.026440742000489,28.302267417831963,21.37183665157457,32.30108159723265,75.62978975706511
2023,-423523.5,617332.0,257356.5,71939.3,619494.0,-68.36603744346192,99.65100549803549,41.54301736578562,11.612590275289188,-68.36603744346192,72.8279854203592
2024,61304.6,260649.80000000002,309556.2,178610.9,821079.2,7.466344294192327,31.744781745780433,37.70113772215884,21.753187755821852,7.466344294192327,76.9122637621316
2025,341324.0,-13473.3,277695.8,252889.0,906537.4,37.65139750439419,-1.4862376334390617,30.632580630429587,27.896146369691973,37.65139750439419,66.79774050138471
