date,saving,rate
2018-01-01,12.23,-0.4
2018-04-01,12.44,-0.39999999999999997
2018-07-01,12.48,-0.4
2018-10-01,12.82,-0.4
2019-01-01,13.35,-0.4
2019-04-01,13.14,-0.39999999999999997
2019-07-01,12.91,-0.4141304347826087
2019-10-01,12.66,-0.5
2020-01-01,17.08,-0.5
2020-04-01,25.1,-0.5
2020-07-01,16.52,-0.5
2020-10-01,19.11,-0.5
2021-01-01,20.43,-0.5
2021-04-01,18.81,-0.5
2021-07-01,15.06,-0.5
2021-10-01,14.98,-0.5
2022-01-01,14.22,-0.5
2022-04-01,12.81,-0.5
2022-07-01,13.31,-0.002717391304347826
2022-10-01,13.47,1.298913043478261
2023-01-01,13.77,2.3444444444444446
2023-04-01,13.93,3.17032967032967
2023-07-01,14.15,3.692934782608696
2023-10-01,14.84,4.0
2024-01-01,15.15,4.0
2024-04-01,15.23,3.947802197802198
2024-07-01,15.02,3.714673913043478
2024-10-01,14.81,3.2717391304347827
2025-01-01,15.06,2.7916666666666665
2025-04-01,15.14,2.2554945054945055
2025-07-01,14.78,2.0
2025-10-01,14.42,2.0
