year,f2_flow,total_flow,f2_share
2002,227383.6,536319.5,42.39704131585743
2003,225034.2,564583.9,39.85841608306578
2004,262716.8,573181.1,45.834867897772625
2005,264263.7,674100.7,39.20240699942902
2006,294110.2,660059.2,44.55815478369213
2007,319021.5,597745.2,53.37081753228634
2008,380474.1,475505.3,80.01469173950322
2009,171529.0,536227.3,31.98811399568802
2010,155532.5,504582.4,30.824004166613815
2011,163639.7,379629.80000000005,43.10507236260167
2012,217663.5,248588.8,87.55965675042481
2013,157879.0,299240.8,52.75985092941872
2014,162117.3,368580.69999999995,43.98420752904317
2015,198454.0,460333.3,43.11093722743934
2016,299520.6,484131.69999999995,61.86758685704737
2017,245093.3,525353.2,46.65305169931391
2018,321642.0,530121.1000000001,60.6733065331676
2019,426064.2,654281.3,65.11942187557553
2020,727823.4,1115626.6,65.23897870488207
2021,499962.5,1027221.0,48.671366726342235
2022,335433.5,732657.2,45.78314387683626
2023,103980.7,619494.0,16.78477919075891
2024,341016.0,821079.2,41.53265604584796
2025,350509.9,906537.4,38.66469270876193
