geo,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
AT,13.27,13.02,13.74,12.82,13.41,13.04,19.15,17.25,15.24,14.75,17.34,
BE,12.63,11.59,11.47,11.11,10.87,12.12,19.07,16.64,12.9,14.02,12.92,
CZ,12.16,11.08,10.44,10.77,11.53,11.88,18.73,19.57,18.2,20.55,19.86,
DE,17.07,17.24,17.15,17.57,18.2,17.93,23.24,21.99,18.9,19.25,20.04,19.2
DK,1.21,8.37,8.87,9.59,9.5,7.91,9.16,6.79,11.09,14.73,14.29,14.32
EE,6.5,8.4,7.44,8.0,10.94,10.12,12.96,8.37,1.99,3.55,7.3,
EL,-3.48,-1.63,-2.24,-4.26,-7.01,-2.42,0.65,4.43,-4.99,-2.44,-2.51,
ES,6.98,7.93,7.71,6.3,6.1,8.61,17.62,14.26,8.98,11.68,12.74,
FI,8.41,8.23,7.75,8.52,9.26,11.05,14.46,12.48,10.01,10.94,12.42,12.42
FR,14.15,13.61,13.41,13.67,13.54,14.24,20.03,18.67,16.51,16.72,17.93,
HU,13.06,12.81,12.54,12.93,15.3,16.17,16.37,18.22,15.99,20.61,19.04,
IE,11.51,12.82,12.53,14.64,12.53,13.85,25.82,21.42,14.58,11.81,13.49,
IT,11.8,11.1,11.21,10.87,10.63,10.42,17.78,15.79,11.39,11.35,11.21,11.01
LT,-1.69,-0.99,1.89,-3.97,-2.65,1.73,11.69,10.22,4.81,5.66,7.63,
LV,0.53,3.53,4.61,5.64,6.78,8.63,14.08,10.44,3.84,1.75,4.94,
NL,14.35,13.98,15.1,12.92,13.58,15.84,21.98,19.02,14.43,14.77,16.54,17.32
PL,7.77,6.49,8.05,5.49,4.98,6.18,12.79,5.1,1.02,4.72,7.77,
PT,6.58,7.47,7.3,6.54,6.94,7.0,12.05,10.95,7.33,8.92,12.53,12.13
SE,15.89,13.67,14.94,14.08,15.17,17.02,17.68,17.64,15.77,16.96,18.7,17.1
SI,11.4,11.76,12.1,12.98,13.58,13.43,22.56,16.98,13.95,14.68,13.31,
SK,8.38,9.36,9.56,7.39,10.24,9.76,11.7,11.39,6.02,7.67,8.06,
