date,savings,unemployment
1999-01-01,1.7,14.8
1999-02-01,-0.2,12.8
1999-03-01,-1.0,15.6
1999-04-01,0.3,22.3
1999-05-01,0.1,20.2
1999-06-01,-0.2,21.0
1999-07-01,-0.4,15.8
1999-08-01,-0.1,15.1
1999-09-01,-0.4,13.9
1999-10-01,0.7,12.2
1999-11-01,0.2,9.3
1999-12-01,2.2,10.2
2000-01-01,2.1,6.4
2000-02-01,1.7,7.0
2000-03-01,1.5,6.1
2000-04-01,1.1,5.2
2000-05-01,1.0,4.1
2000-06-01,1.3,5.6
2000-07-01,2.5,4.1
2000-08-01,2.7,2.2
2000-09-01,-2.4,4.8
2000-10-01,0.9,3.0
2000-11-01,-1.7,0.2
2000-12-01,2.3,0.4
2001-01-01,1.7,0.5
2001-02-01,3.0,4.5
2001-03-01,3.3,3.7
2001-04-01,3.7,8.8
2001-05-01,2.0,13.5
2001-06-01,1.8,13.9
2001-07-01,0.2,17.9
2001-08-01,-2.9,21.9
2001-09-01,-1.2,24.9
2001-10-01,2.7,29.7
2001-11-01,0.1,32.5
2001-12-01,2.1,28.9
2002-01-01,1.6,27.1
2002-02-01,-0.4,24.9
2002-03-01,-0.1,23.3
2002-04-01,-3.6,22.7
2002-05-01,-3.1,22.0
2002-06-01,-4.2,23.7
2002-07-01,-4.4,26.4
2002-08-01,-5.3,28.4
2002-09-01,-3.6,26.6
2002-10-01,-6.5,30.3
2002-11-01,-6.8,33.0
2002-12-01,-8.3,35.4
2003-01-01,-8.1,36.2
2003-02-01,-8.1,38.4
2003-03-01,-8.7,40.8
2003-04-01,-8.9,40.3
2003-05-01,-8.3,42.6
2003-06-01,-8.1,40.6
2003-07-01,-8.9,39.5
2003-08-01,-7.5,37.0
2003-09-01,-8.8,37.3
2003-10-01,-8.9,36.7
2003-11-01,-9.1,33.7
2003-12-01,-10.3,31.2
2004-01-01,-9.3,29.9
2004-02-01,-8.8,30.2
2004-03-01,-8.9,29.5
2004-04-01,-8.2,30.9
2004-05-01,-10.9,34.9
2004-06-01,-9.2,32.6
2004-07-01,-10.4,31.8
2004-08-01,-8.5,31.1
2004-09-01,-8.8,29.8
2004-10-01,-8.5,32.0
2004-11-01,-6.3,31.0
2004-12-01,-6.2,31.1
2005-01-01,-7.1,28.3
2005-02-01,-8.0,30.9
2005-03-01,-8.5,32.0
2005-04-01,-8.9,29.4
2005-05-01,-7.0,33.1
2005-06-01,-7.0,34.8
2005-07-01,-10.1,31.7
2005-08-01,-8.5,30.8
2005-09-01,-9.0,28.7
2005-10-01,-8.8,24.4
2005-11-01,-8.0,24.0
2005-12-01,-9.1,19.1
2006-01-01,-9.4,18.4
2006-02-01,-7.5,19.2
2006-03-01,-7.2,22.9
2006-04-01,-8.3,23.2
2006-05-01,-6.8,18.0
2006-06-01,-8.8,16.7
2006-07-01,-7.3,16.2
2006-08-01,-9.3,14.1
2006-09-01,-6.4,15.0
2006-10-01,-7.9,13.9
2006-11-01,-7.2,12.3
2006-12-01,-7.7,9.7
2007-01-01,-7.8,8.0
2007-02-01,-5.8,6.3
2007-03-01,-6.5,8.7
2007-04-01,-7.6,6.7
2007-05-01,-3.5,5.3
2007-06-01,-6.2,6.6
2007-07-01,-6.6,4.4
2007-08-01,-7.1,7.2
2007-09-01,-5.8,9.9
2007-10-01,-9.6,8.8
2007-11-01,-10.0,9.7
2007-12-01,-9.1,8.5
2008-01-01,-10.4,11.3
2008-02-01,-10.6,13.5
2008-03-01,-12.0,14.9
2008-04-01,-10.8,13.9
2008-05-01,-11.4,16.7
2008-06-01,-14.2,18.3
2008-07-01,-14.1,24.5
2008-08-01,-12.8,27.1
2008-09-01,-11.7,28.1
2008-10-01,-14.0,38.7
2008-11-01,-12.7,48.5
2008-12-01,-11.9,57.8
2009-01-01,-13.1,60.3
2009-02-01,-12.6,64.5
2009-03-01,-10.3,69.0
2009-04-01,-9.2,65.8
2009-05-01,-10.1,62.6
2009-06-01,-8.6,61.0
2009-07-01,-9.2,57.7
2009-08-01,-8.2,56.0
2009-09-01,-7.9,49.6
2009-10-01,-7.9,48.5
2009-11-01,-7.1,48.8
2009-12-01,-4.9,44.6
2010-01-01,-6.0,46.5
2010-02-01,-7.2,46.1
2010-03-01,-7.2,46.1
2010-04-01,-7.5,38.4
2010-05-01,-8.8,38.7
2010-06-01,-9.6,38.6
2010-07-01,-8.5,31.7
2010-08-01,-7.4,26.2
2010-09-01,-6.7,22.8
2010-10-01,-5.9,22.4
2010-11-01,-5.8,19.8
2010-12-01,-6.9,20.5
2011-01-01,-8.0,21.5
2011-02-01,-4.6,20.3
2011-03-01,-6.4,20.2
2011-04-01,-7.6,20.0
2011-05-01,-6.6,19.6
2011-06-01,-8.2,20.4
2011-07-01,-8.8,21.2
2011-08-01,-9.3,28.4
2011-09-01,-9.1,31.6
2011-10-01,-8.6,32.8
2011-11-01,-8.0,32.9
2011-12-01,-10.8,33.3
2012-01-01,-10.8,34.2
2012-02-01,-8.5,35.8
2012-03-01,-9.6,35.2
2012-04-01,-10.2,36.2
2012-05-01,-10.6,36.1
2012-06-01,-9.1,39.8
2012-07-01,-9.7,40.9
2012-08-01,-11.4,45.3
2012-09-01,-12.8,44.8
2012-10-01,-11.7,44.4
2012-11-01,-11.6,46.1
2012-12-01,-11.4,46.8
2013-01-01,-11.1,44.1
2013-02-01,-10.9,43.0
2013-03-01,-12.2,42.9
2013-04-01,-11.9,41.1
2013-05-01,-13.1,42.9
2013-06-01,-9.0,39.8
2013-07-01,-8.3,35.6
2013-08-01,-6.7,33.1
2013-09-01,-9.4,31.1
2013-10-01,-8.5,30.3
2013-11-01,-9.1,30.9
2013-12-01,-9.1,27.9
2014-01-01,-9.1,26.5
2014-02-01,-9.8,26.1
2014-03-01,-7.2,21.5
2014-04-01,-8.1,21.5
2014-05-01,-7.1,20.8
2014-06-01,-7.0,23.1
2014-07-01,-6.4,24.4
2014-08-01,-6.9,24.7
2014-09-01,-8.0,26.2
2014-10-01,-7.0,24.3
2014-11-01,-8.5,23.5
2014-12-01,-9.0,22.7
2015-01-01,-7.2,19.8
2015-02-01,-6.6,15.3
2015-03-01,-4.9,8.5
2015-04-01,-4.8,13.2
2015-05-01,-6.7,16.0
2015-06-01,-7.1,15.2
2015-07-01,-5.4,17.4
2015-08-01,-5.7,17.1
2015-09-01,-5.2,18.8
2015-10-01,-4.2,20.2
2015-11-01,-4.2,14.8
2015-12-01,-2.3,16.6
2016-01-01,-4.4,17.3
2016-02-01,-4.1,19.0
2016-03-01,-4.5,19.8
2016-04-01,-5.4,20.5
2016-05-01,-5.1,18.0
2016-06-01,-5.4,17.8
2016-07-01,-4.8,17.1
2016-08-01,-3.8,19.1
2016-09-01,-3.8,19.2
2016-10-01,-3.1,19.5
2016-11-01,-3.4,13.7
2016-12-01,-3.6,10.3
2017-01-01,-2.7,9.7
2017-02-01,-2.9,10.4
2017-03-01,-1.4,8.2
2017-04-01,-2.0,6.8
2017-05-01,-2.5,8.4
2017-06-01,-0.4,7.2
2017-07-01,-2.1,7.5
2017-08-01,0.5,6.1
2017-09-01,0.8,7.3
2017-10-01,0.1,5.2
2017-11-01,1.1,3.2
2017-12-01,2.0,1.4
2018-01-01,1.7,0.1
2018-02-01,-0.4,0.9
2018-03-01,-0.5,-0.2
2018-04-01,0.7,0.6
2018-05-01,1.0,3.1
2018-06-01,-0.2,4.8
2018-07-01,1.5,4.2
2018-08-01,1.7,7.2
2018-09-01,0.6,7.3
2018-10-01,1.6,5.9
2018-11-01,0.7,5.5
2018-12-01,-1.3,7.1
2019-01-01,0.6,7.7
2019-02-01,0.8,5.8
2019-03-01,2.0,6.7
2019-04-01,1.3,9.1
2019-05-01,2.8,8.9
2019-06-01,2.3,11.6
2019-07-01,3.4,12.1
2019-08-01,2.2,13.9
2019-09-01,2.3,13.5
2019-10-01,1.7,14.2
2019-11-01,1.2,12.6
2019-12-01,0.5,13.4
2020-01-01,1.7,12.4
2020-02-01,1.8,10.6
2020-03-01,1.8,21.1
2020-04-01,0.2,62.1
2020-05-01,1.9,63.7
2020-06-01,4.0,56.2
2020-07-01,5.9,55.0
2020-08-01,4.9,52.2
2020-09-01,5.4,47.5
2020-10-01,4.9,50.5
2020-11-01,5.8,54.1
2020-12-01,8.3,44.4
2021-01-01,6.1,50.7
2021-02-01,6.9,47.2
2021-03-01,7.4,39.9
2021-04-01,7.8,37.9
2021-05-01,9.3,25.1
2021-06-01,8.9,15.9
2021-07-01,8.6,16.9
2021-08-01,7.3,15.2
2021-09-01,8.4,9.1
2021-10-01,6.1,6.2
2021-11-01,6.5,7.5
2021-12-01,5.3,11.1
2022-01-01,6.4,13.0
2022-02-01,5.4,4.4
2022-03-01,2.1,18.7
2022-04-01,1.5,21.0
2022-05-01,1.4,18.2
2022-06-01,-1.0,19.7
2022-07-01,-1.3,23.3
2022-08-01,0.5,22.1
2022-09-01,-2.6,29.5
2022-10-01,-2.7,30.0
2022-11-01,-0.2,24.8
2022-12-01,-0.1,19.6
2023-01-01,0.9,18.1
2023-02-01,3.1,15.4
2023-03-01,2.8,14.5
2023-04-01,3.9,15.7
2023-05-01,3.7,17.0
2023-06-01,5.2,15.6
2023-07-01,5.3,16.8
2023-08-01,4.6,16.5
2023-09-01,4.9,19.5
2023-10-01,4.3,18.3
2023-11-01,5.5,17.8
2023-12-01,6.6,17.8
2024-01-01,7.2,17.6
2024-02-01,6.8,16.6
2024-03-01,6.7,15.8
2024-04-01,9.3,17.5
2024-05-01,7.3,18.8
2024-06-01,8.0,19.1
2024-07-01,10.1,19.2
2024-08-01,7.9,20.1
2024-09-01,9.9,21.1
2024-10-01,9.1,20.1
2024-11-01,9.2,24.5
2024-12-01,10.4,26.8
2025-01-01,10.3,25.1
2025-02-01,10.2,23.8
2025-03-01,9.9,22.8
2025-04-01,9.6,26.1
2025-05-01,8.7,27.7
2025-06-01,8.9,25.8
2025-07-01,10.3,25.6
2025-08-01,8.8,25.1
2025-09-01,8.8,26.2
2025-10-01,11.0,23.0
2025-11-01,10.0,23.5
2025-12-01,9.3,23.4
