year,Currency & deposits (F2),Bonds / debt securities (F3),Listed shares & investment funds (F5),Insurance & pension entitlements (F6),Other financial (F1/F7/F8),saving
2002,227.3836,84.0591,-24.654,213.3307,36.689699999999995,13.985
2003,225.0342,4.1051,58.9981,241.21529999999998,27.1889,13.99
2004,262.7168,76.7845,-23.772,264.72240000000005,-9.581100000000001,13.8375
2005,264.26370000000003,29.8056,45.5881,305.5949,27.602300000000003,12.915
2006,294.1102,77.5829,18.3171,278.4631,-10.786299999999999,12.8525
2007,319.0215,110.2441,-39.8885,214.37570000000002,-6.4976,12.675
2008,380.47409999999996,40.9273,-163.2995,129.7999,76.6378,12.975
2009,171.529,-44.5287,96.3672,236.74620000000002,81.15229999999998,14.155
2010,155.5325,-53.837,82.8197,246.5295,67.7771,12.975
2011,163.6397,79.7464,-24.7972,108.10130000000001,49.931200000000004,12.4875
2012,217.6635,-112.144,45.0313,139.3265,-42.973800000000004,11.9875
2013,157.879,-132.578,69.26989999999999,175.216,29.4394,12.1325
2014,162.1173,-203.13979999999998,147.6104,249.2841,8.4696,12.3225
2015,198.454,-170.7597,217.35,214.47639999999998,0.38480000000000003,12.515
2016,299.5206,-130.93030000000002,140.7299,185.05710000000002,-20.1218,12.5425
2017,245.0933,-93.6628,164.2202,187.45270000000002,6.816,12.4475
2018,321.642,-18.5766,32.8053,173.6746,30.9322,12.4925
2019,426.0642,-52.4909,43.208400000000005,192.7864,43.1195,13.015
2020,727.8234,-43.5743,254.9507,116.91210000000001,43.8969,19.4525
2021,499.9625,-40.378099999999996,341.5688,145.3017,76.0468,17.32
2022,335.4335,95.7403,162.22879999999998,117.28689999999999,31.8025,13.4525
2023,103.9807,310.69579999999996,46.4991,61.930699999999995,77.34939999999999,14.1725
2024,341.016,70.6715,243.0036,155.4294,8.6789,15.0525
2025,350.5099,30.5237,257.4119,219.9879,49.285599999999995,14.85
