date,M1,M2,M3
1999-01-01,1807005,3930982,4447197
1999-02-01,1785973,3905442,4436979
1999-03-01,1806407,3930847,4453500
1999-04-01,1823152,3952443,4488386
1999-05-01,1836913,3968746,4505279
1999-06-01,1858495,3988595,4537054
1999-07-01,1882493,4023726,4565970
1999-08-01,1879218,4024225,4572050
1999-09-01,1886642,4029253,4594744
1999-10-01,1900478,4052935,4616547
1999-11-01,1912382,4066747,4646110
1999-12-01,1925201,4078868,4667221
2000-01-01,1986266,4121606,4713205
2000-02-01,1987628,4136412,4735956
2000-03-01,2003675,4149339,4766006
2000-04-01,2022293,4174322,4802801
2000-05-01,2005841,4168507,4795425
2000-06-01,2001262,4171277,4788838
2000-07-01,2011982,4183450,4803137
2000-08-01,2022187,4209465,4828781
2000-09-01,2015210,4212330,4830524
2000-10-01,2022687,4225858,4847849
2000-11-01,2019092,4226830,4851550
2000-12-01,2025182,4226952,4859203
2001-01-01,2094231,4340387,5024537
2001-02-01,2104954,4363192,5049678
2001-03-01,2106179,4382791,5079966
2001-04-01,2124789,4412550,5111811
2001-05-01,2142955,4429759,5142003
2001-06-01,2158667,4467986,5192173
2001-07-01,2157872,4481145,5214090
2001-08-01,2173000,4501923,5249306
2001-09-01,2190698,4533918,5296229
2001-10-01,2202764,4553696,5334043
2001-11-01,2220198,4588671,5371237
2001-12-01,2221922,4615510,5402883
2002-01-01,2247196,4645232,5424797
2002-02-01,2248416,4650397,5431456
2002-03-01,2238965,4662027,5453968
2002-04-01,2273547,4697507,5482865
2002-05-01,2293570,4719009,5523451
2002-06-01,2304238,4735880,5539079
2002-07-01,2323079,4761547,5568190
2002-08-01,2340395,4785365,5606774
2002-09-01,2369110,4821013,5660669
2002-10-01,2380902,4847022,5680917
2002-11-01,2417288,4890882,5733178
2002-12-01,2442884,4915147,5767431
2003-01-01,2454715,4922129,5809186
2003-02-01,2481185,4968610,5857436
2003-03-01,2499997,5000011,5880069
2003-04-01,2531994,5048210,5957074
2003-05-01,2549757,5088934,5983094
2003-06-01,2558373,5096544,5990357
2003-07-01,2576935,5123636,6028830
2003-08-01,2607442,5160933,6054734
2003-09-01,2623849,5167505,6057142
2003-10-01,2655345,5200531,6110399
2003-11-01,2663643,5217471,6134302
2003-12-01,2681722,5238327,6148767
2004-01-01,2704804,5259980,6165335
2004-02-01,2722810,5281581,6201786
2004-03-01,2760683,5316424,6232560
2004-04-01,2776949,5341144,6260857
2004-05-01,2774765,5355734,6265034
2004-06-01,2796512,5385279,6315025
2004-07-01,2820299,5421035,6354328
2004-08-01,2834917,5438154,6375262
2004-09-01,2868123,5484081,6417367
2004-10-01,2888055,5518152,6461295
2004-11-01,2913177,5542737,6484681
2004-12-01,2905953,5573540,6540370
2005-01-01,2963795,5623288,6573488
2005-02-01,2990384,5653315,6608114
2005-03-01,3006328,5679341,6628904
2005-04-01,3024122,5721454,6682171
2005-05-01,3054725,5762299,6731012
2005-06-01,3256960,5824959,6807158
2005-07-01,3302577,5885266,6876098
2005-08-01,3323473,5914509,6910851
2005-09-01,3343523,5980748,6972348
2005-10-01,3370621,6001860,6991045
2005-11-01,3390768,6027064,7026011
2005-12-01,3422279,6093186,7087688
2006-01-01,3445371,6124570,7120559
2006-02-01,3470031,6175649,7170882
2006-03-01,3489442,6222149,7221902
2006-04-01,3523343,6295495,7303181
2006-05-01,3553540,6317503,7347101
2006-06-01,3560905,6363553,7384631
2006-07-01,3554322,6369246,7403368
2006-08-01,3565013,6406721,7475572
2006-09-01,3590868,6486139,7573385
2006-10-01,3589937,6500180,7598494
2006-11-01,3617914,6556170,7652322
2006-12-01,3696019,6663329,7753569
2007-01-01,3696560,6705357,7838901
2007-02-01,3718712,6739280,7889608
2007-03-01,3746750,6825507,8008864
2007-04-01,3744814,6850746,8032194
2007-05-01,3773413,6917829,8131881
2007-06-01,3794192,6987296,8206302
2007-07-01,3821040,7057569,8290084
2007-08-01,3810958,7100108,8344331
2007-09-01,3831681,7161755,8418602
2007-10-01,3829110,7267682,8541400
2007-11-01,3854352,7323179,8631497
2007-12-01,3839555,7356073,8647959
2008-01-01,3852397,7440745,8793038
2008-02-01,3845184,7505318,8843329
2008-03-01,3859561,7536659,8867136
2008-04-01,3840284,7616022,8940964
2008-05-01,3857591,7674618,9020742
2008-06-01,3857729,7700435,9044137
