year,us_risky,us_safe,ea_risky,ea_safe
2001,,,33.52271938194599,30.82274835652997
2002,,,30.12057439237411,32.24876076899625
2003,,,30.694792634886998,31.790531621580637
2004,,,30.84081240928406,31.541101686335804
2005,45.01548757259817,11.394182464528612,32.30381490056096,30.519370480790638
2006,47.38796535829122,11.222026829615475,33.56539724998546,30.132075042632373
2007,46.35839455010146,11.41266270996651,32.12470976699219,31.025196679013327
2008,38.57735976981654,13.97943034436989,25.85389704891876,34.60476108067718
2009,38.83971551680703,13.54893353757949,25.969104629108806,34.226576443272755
2010,40.270362769446365,12.363815958058169,25.72991958341382,33.8782383123355
2011,38.88925409385153,13.21383978336189,23.984029692023547,34.49659373032247
2012,40.609137267137065,12.858660041671957,25.032734133418355,34.13410140161723
2013,43.66621394126377,11.99335005346,27.025488463199363,33.387271615511075
2014,45.069114824760355,11.930922151554203,27.6852591039394,32.5723257312652
2015,44.611310608398014,12.6332899090219,29.312055696948157,31.98115836094249
2016,45.19095570127706,12.877082262186244,30.005578295137397,31.60370667934448
2017,47.41480166771428,12.212092775819272,31.293638434541425,31.30232980492767
2018,45.83289349949154,12.662018302999993,29.973861654158718,32.47845636995016
2019,48.6011940549273,11.82369065904439,30.9023712874206,31.432049790243777
2020,50.38305838550207,12.883283374305513,30.75442245280354,32.154476473749405
2021,53.86735779022684,12.816902494014643,33.66970677274784,31.56445749419574
2022,51.253335906693806,13.702515199254803,34.13860387625199,33.891555494774806
2023,53.01046243784192,12.025593775865357,35.16519462339916,32.114797091095795
2024,55.23731230565218,11.081054040518453,35.72369856254564,31.534864554543386
2025,57.026085526009716,10.412106670162053,37.29727303940134,31.086683889888665
