,year,T1,T2,T3,T4,total,T1_share,T2_share,T3_share,T4_share,narrow_cash_share,broad_liquid_share
0,2005,351637.0,6135301.0,13930606.0,24232226.0,45857735.0,0.7667997558100067,13.378988299356696,30.377876273217595,52.84217809710837,0.7667997558100067,44.5236643283843
1,2006,317337.0,6846160.0,16361776.0,25914956.0,50771283.0,0.6250324617559891,13.484315533251346,32.22643792554937,51.04254702407265,0.6250324617559891,46.3357859205567
2,2007,208310.0,7902767.0,17198593.0,26958638.0,53828525.0,0.3869881257195883,14.681373862649961,31.950704575315783,50.082438632676634,0.3869881257195883,47.01906656368533
3,2008,483561.0,8502498.0,12217364.0,24770087.0,47409836.0,1.0199592337758772,17.934037991610012,25.769682055006477,52.24672576382673,1.0199592337758772,44.72367928039237
4,2009,533142.0,8173506.0,14857970.0,24817673.0,49777844.0,1.07104277155917,16.419967887721292,29.84856073718259,49.85686603863358,1.07104277155917,47.33957139646306
5,2010,524447.0,7988148.0,17299471.0,27121715.0,54373019.0,0.9645353700150436,14.691382135687554,31.81627821695904,49.88083335964847,0.9645353700150436,47.47219572266164
6,2011,813755.0,8268993.0,17250385.0,28014208.0,55782983.0,1.4587871717079024,14.82350450853444,30.924099200646907,50.21998913181104,1.4587871717079024,47.206390880889245
7,2012,921875.0,8550132.0,19462993.0,29599958.0,60058614.0,1.5349588320503034,14.236312546273545,32.40666359699876,49.28511670282634,1.5349588320503034,48.177934975322614
8,2013,1111962.0,8600780.0,22451582.0,33213258.0,66974373.0,1.6602798207606961,12.841897004395994,33.522646042539286,49.59099505119667,1.6602798207606961,48.024822867695974
9,2014,1083858.0,9130609.0,24813920.0,34856242.0,71559322.0,1.51462866012062,12.759496240056606,34.67601328028233,48.7095755323115,1.51462866012062,48.95013818045956
10,2015,1197659.0,9733031.0,24397511.0,35950847.0,72879298.0,1.6433459608790415,13.355001031980303,33.47659989809452,49.32929924764094,1.6433459608790415,48.474946890953866
11,2016,1128471.0,10294047.0,26100815.0,37322564.0,76432858.0,1.4764213056117828,13.468091170946401,34.14868380297908,48.83052260063336,1.4764213056117828,49.09319627953727
12,2017,1337785.0,10522224.0,30352589.0,39826307.0,83580744.0,1.600589963640429,12.589292098189507,36.31528932070765,47.650098687803016,1.600589963640429,50.50517138253758
13,2018,1162836.0,11129127.0,28708633.0,40163385.0,82654319.0,1.4068665909642302,13.464664804751461,34.73337309814385,48.59199795717874,1.4068665909642302,49.60490449385954
14,2019,1197195.0,12151419.0,35590833.0,43216963.0,93683295.0,1.2779172636914617,12.970742542734007,37.990586261937096,46.13091693668546,1.2779172636914617,52.23924606836256
15,2020,3179530.0,13038033.0,40977613.0,46042514.0,104949667.0,3.029576072880727,12.423129460715678,39.04501478789828,43.87104344028076,3.029576072880727,54.49772032149468
16,2021,4142306.0,13912541.0,48731837.0,50368778.0,118974963.0,3.481661935881417,11.693671213833452,40.95974125245158,42.33561140086255,3.481661935881417,56.13507440216645
17,2022,4577370.0,13434842.0,41285179.0,47751517.0,108848593.0,4.205263360638938,12.342687792023183,37.92899647311013,43.869668577158365,4.205263360638938,54.476947625772254
18,2023,4428016.0,13927339.0,48897095.0,50096432.0,119119274.0,3.7172959935937824,11.691927370208788,41.04885243004419,42.05568949320494,3.7172959935937824,56.45807579384676
19,2024,4621225.0,14551688.0,57178567.0,52541043.0,130544621.0,3.5399581879363686,11.146907385789568,43.80001762002894,40.24757404596548,3.5399581879363686,58.48688319375488
20,2025,5679898.0,14498637.0,65882032.0,54831734.0,142618439.0,3.9825832058083317,10.166032598351466,46.19461022147354,38.44645501974678,3.9825832058083317,60.343226025633335
