year,saving_rate,reported_rate,B8G,B6G,D8net,denom,P3,P5G,P51G,NP,D9net,B9,F_ASS,F_LIAB,F4_loans,B9F,discrep
2002,13.985551623410055,13.985,696762.0,4926510.0,55503.0,4982013.0,4285251.0,509977.0,500331.0,-3560.0,11749.0,202093.0,536319.5,283813.6,226675.0,252505.90000000002,-50412.90000000002
2003,13.990980274971387,13.99,721969.0,5104007.0,56239.0,5160246.0,4438277.0,531447.0,522303.0,-2975.0,9344.0,202841.0,564583.9,299897.6,265202.5,264686.30000000005,-61845.30000000005
2004,13.838071504211182,13.8375,741197.0,5297943.0,58273.0,5356216.0,4615019.0,565913.0,553206.0,-4267.0,15349.0,194900.0,573181.1,310922.2,309730.0,262258.89999999997,-67358.89999999997
2005,12.912647813094907,12.915,713223.0,5456701.0,66744.0,5523445.0,4810223.0,599820.0,590236.0,-4335.0,21198.0,138937.0,674100.7000000001,444044.5,395320.9,230056.20000000007,-91119.20000000007
2006,12.858227666639081,12.8525,742674.0,5710713.0,65153.0,5775866.0,5033191.0,658273.0,643630.0,-6698.0,18386.0,109486.0,660059.2,464358.0,414872.4,195701.19999999995,-86215.19999999995
2007,12.675521063858818,12.675,761776.0,5945768.0,64052.0,6009820.0,5248044.0,696063.0,682724.0,-8812.0,10587.0,85112.0,597745.2000000001,442120.7,383633.3,155624.50000000006,-70512.50000000006
2008,12.97427331382521,12.975,807484.0,6145637.0,78095.0,6223732.0,5416248.0,682849.0,668506.0,-5598.0,3047.0,133279.0,475505.3,253848.4,221642.7,221656.9,-88377.9
2009,14.151870154941818,14.155,877033.0,6112694.0,84600.0,6197294.0,5320260.0,590815.0,581958.0,-5820.0,6435.0,298473.0,536227.3,172339.7,93563.1,363887.60000000003,-65414.600000000035
2010,12.972870311549833,12.975,812155.0,6180919.0,79492.0,6260411.0,5448255.0,587857.0,577422.0,-5361.0,10343.0,240003.0,504582.4,211725.3,132510.7,292857.10000000003,-52854.100000000035
2011,12.4904864765764,12.4875,797106.0,6302627.0,79078.0,6381705.0,5584598.0,594554.0,581867.0,-5235.0,1993.0,209780.0,379629.8,104134.3,81136.6,275495.5,-65715.5
2012,11.991106766535562,11.9875,766181.0,6298379.0,91198.0,6389577.0,5623395.0,565176.0,559079.0,-5281.0,5442.0,211728.0,248588.8,-16945.5,1784.4,265534.3,-53806.29999999999
2013,12.132034643829012,12.1325,779264.0,6331083.0,92110.0,6423193.0,5643929.0,541828.0,534074.0,-4050.0,1268.0,242755.0,299240.8,-10611.300000000001,-26719.0,309852.1,-67097.09999999998
2014,12.327249371003944,12.3225,803971.0,6425257.0,96644.0,6521901.0,5717930.0,546636.0,536190.0,-4797.0,461.0,262592.0,368580.7,44453.7,4315.6,324127.0,-61535.0
2015,12.513056018579215,12.515,835137.0,6580786.0,93339.0,6674125.0,5838988.0,547299.0,537806.0,-3887.0,722.0,292447.0,460333.3,107005.90000000001,82414.8,353327.39999999997,-60880.399999999965
2016,12.542709027350456,12.5425,857320.0,6742179.0,93027.0,6835206.0,5977887.0,573980.0,566231.0,-4445.0,-5345.0,282440.0,484131.69999999995,167917.2,128715.5,316214.49999999994,-33774.49999999994
2017,12.446677806312302,12.4475,875690.0,6940077.0,95455.0,7035532.0,6159842.0,606861.0,596191.0,-4845.0,-774.0,272901.0,525353.2,236521.2,180675.7,288831.99999999994,-15930.999999999942
2018,12.49652629957688,12.4925,907911.0,7169392.0,95915.0,7265307.0,6357396.0,644624.0,631473.0,-4628.0,-6540.0,261375.0,530121.1,214013.1,210794.7,316108.0,-54733.0
2019,13.013932318453678,13.015,976088.0,7396755.0,103576.0,7500331.0,6524243.0,670328.0,659063.0,-5198.0,1436.0,312393.0,654281.3,280120.5,244157.2,374160.80000000005,-61767.80000000005
2020,19.415886453858402,19.4525,1458428.0,7415459.0,96060.0,7511519.0,6053092.0,665083.0,649095.0,-4387.0,6583.0,804316.0,1115626.6,262517.5,212986.1,853109.1000000001,-48793.10000000009
2021,17.278476559075315,17.32,1357888.0,7759912.0,98929.0,7858841.0,6500953.0,785445.0,763582.0,-5464.0,50322.0,628228.0,1027221.0,328752.2,308531.3,698468.8,-70240.80000000005
2022,13.45088503630221,13.4525,1137883.0,8349561.0,109979.0,8459540.0,7321657.0,883430.0,856173.0,-5528.0,43774.0,303756.0,732657.2,294228.3,279852.7,438428.89999999997,-134672.89999999997
2023,14.179516012024251,14.1725,1289243.0,8979551.0,112741.0,9092292.0,7803050.0,905541.0,884874.0,-6829.0,69935.0,460466.0,619494.0,80129.7,39052.9,539364.3,-78898.30000000005
2024,15.050293484077134,15.0525,1433599.0,9408270.0,117119.0,9525389.0,8091789.0,844877.0,825066.0,-7367.0,4619.0,600709.0,821079.2,103570.29999999999,94624.9,717508.8999999999,-116799.8999999999
2025,14.848305742728993,14.85,1457827.0,9699041.0,119096.0,9818137.0,8360309.0,873354.0,849808.0,-6769.0,-5901.0,585342.0,906537.4,221645.1,204258.6,684892.3,-99550.30000000005
