year,T1,T2,T3,T4,total,T1_share,T2_share,T3_share,T4_share,narrow_cash_share,broad_liquid_share
2001,1384326.0,2913217.1,3430616.2,5520047.6,13702698.9,10.102579134976104,21.260170140642877,25.036062056358837,40.28438222487688,10.102579134976104,56.39881133197782
2002,1530920.8,3005013.7,3128234.0,5676254.7,13824884.1,11.07366100812375,21.736266852320302,22.627560400307445,41.05824438701804,11.07366100812375,55.43748826075149
2003,1740093.5,2986872.0,3393270.0,6082754.3,14706750.6,11.831937232960216,20.30953050907112,23.072873759074966,41.36028729554984,11.831937232960216,55.214341501106304
2004,1887264.2,3100668.5,3563787.0,6579618.0,15631554.5,12.073426222580743,19.835957453879587,22.798673030247887,42.091898153827245,12.073426222580743,54.70805670670822
2005,2238344.3,3023686.7,3836985.1,7424506.8,17048903.1,13.128963704415678,17.7353738376283,22.505759329466773,43.548296077769365,13.128963704415678,53.37009687151075
2006,2375117.9,3215867.4,3873892.9,8236184.699999999,18231801.8,13.02733501633393,17.6387799476846,21.247998099672188,45.17482578161857,13.02733501633393,51.91411306369072
2007,2422695.1,3500975.6,3845878.7,8405107.7,18736239.0,12.930530508283972,18.685583590175167,20.52641781522962,44.860164838845186,12.930530508283972,52.14253191368876
2008,2424669.0,3902067.9,3093322.9,7892644.5,17896911.6,13.54797438905604,21.803023824512827,17.284115657139413,44.10059498757316,13.54797438905604,52.63511387070828
2009,2734169.8,3694431.6999999997,3428920.8,8140502.0,18626758.1,14.678720716301136,19.834002675967536,18.408575349459227,43.70326793474598,14.678720716301136,52.921298741727895
2010,2836711.4,3743738.4,3434190.5,8557667.4,19285747.8,14.708848365216099,19.41194315524545,17.806882759298553,44.3730131117861,14.708848365216099,51.927674279760105
2011,2872004.0,3910431.5999999996,3251676.0999999996,8674495.6,19464621.5,14.754995364281807,20.08994420980649,16.705570668301974,44.565447111314235,14.754995364281807,51.550510242390274
2012,2949194.5,4039960.8,3444826.4,9172308.0,20306250.1,14.523580106993757,19.89515927413895,16.96436507496773,45.1698760471782,14.523580106993757,51.38310445610044
2013,3147736.3,3987004.3000000003,3683454.2,9693464.0,21248668.3,14.81380506090351,18.763549054977716,17.334988470783365,45.61916004872644,14.81380506090351,50.91234258666459
2014,3359118.8,3947717.2,3790126.2,10429929.600000001,22340468.9,15.036026392445148,17.670699830297654,16.96529386632525,46.68626091370894,15.036026392445148,49.672020089068056
2015,3698135.8,3799709.5999999996,3905227.0,11152426.0,23391213.4,15.809935708593896,16.244174831905042,16.69527327727257,47.67784299723417,15.809935708593896,48.74938381777151
2016,4066412.6999999997,3727673.7,3883278.5,12106060.3,24617915.8,16.518103047537437,15.142117351786538,15.774196855446228,49.17581325060832,16.518103047537437,47.4344172547702
2017,4375876.3,3655272.8000000003,4131288.8,12588495.9,25615063.0,17.083215059826323,14.270012921693771,16.128356974956493,49.144895329751876,17.083215059826323,47.48158495647658
2018,4716678.2,3638494.4000000004,3778975.7,12702292.8,25692176.7,18.358421923822437,14.161876755269244,14.708663046054793,49.44031386799547,18.358421923822437,47.228961725146476
2019,5104873.2,3673136.8,4238634.199999999,13985959.6,27900245.0,18.296875887649016,13.165249265732255,15.19210386862194,50.128447259154896,18.296875887649016,46.654229022003214
2020,5789575.1,3712455.0,4407691.2,14669286.6,29532989.0,19.603755989615546,12.570535952185537,14.924636310940285,49.670849774128854,19.603755989615546,47.09892825274137
2021,6295490.0,3709311.1,5159282.4,15484929.5,31679037.1,19.872731548396715,11.709039919019508,16.28610864564441,48.880682361396644,19.872731548396715,47.867880113060636
2022,6549694.7,3806219.7,4759719.0,14329351.600000001,30506737.0,21.469666519890342,12.476652943905473,15.602189772049368,46.97110543156419,21.469666519890342,49.54850923584519
2023,6124751.3,4427814.0,5456951.6,15391926.5,32534890.6,18.82517871444756,13.609432576361575,16.772613951866184,47.30898495782863,18.82517871444756,49.20722524267532
2024,6205539.0,4707556.9,6205667.1,16034159.8,34312978.2,18.08510751771468,13.719464607709279,18.085480845845083,46.729140520947254,18.08510751771468,49.89005297126904
2025,6547543.6,4689775.600000001,6879370.699999999,16591348.2,35922546.9,18.226835692432488,13.055242472242414,19.15056501742642,46.18644732008131,18.226835692432488,50.432643182101316
