year,real_income,real_consumption,saving_rate,deflator
2002,6131708.307692307,5274155.076923077,13.995358904121687,81.25
2003,6211775.32742681,5342687.066640986,13.835129177950044,83.072
2004,6317633.459932533,5443394.824373098,13.79493470763689,84.782
2005,6385264.094886882,5560758.586407408,12.890105722062952,86.503
2006,6525148.841465482,5686129.218116295,12.81717408263973,88.517
2007,6629550.368441954,5789220.315050964,12.667367741463144,90.652
2008,6672812.265465853,5807063.36442586,12.79806553367015,93.27
2009,6688641.6128823375,5742072.657413604,14.233174995409287,92.654
2010,6652297.867366565,5789302.829697479,12.88086996205201,94.109
2011,6627657.364808026,5799829.679402632,12.443345469588456,96.289
2012,6516585.2464533765,5735173.532141437,11.964730998624791,98.051
2013,6475449.880535926,5689846.057685522,12.131824467986563,99.193
2014,6540738.326379974,5734445.202182285,12.26223611796622,99.712
2015,6674125.0,5838988.0,12.506646189575411,100.0
2016,6800320.356570791,5947376.956214619,12.398218868604692,100.513
2017,6901843.295368708,6042793.097697598,12.227322681497292,101.937
2018,7010949.743312618,6134824.56478944,12.639072237415432,103.628
2019,7151277.161735682,6220614.792002364,12.992670590137957,104.881
2020,7120328.1703224825,5737854.2855517855,19.20798176773566,105.494
2021,7277311.072218982,6019902.584474632,17.218412994995063,107.991
2022,7337427.250570286,6350478.3464737665,13.567153769590307,115.293
2023,7421733.913426769,6369368.781069146,13.970126564347032,122.509
2024,7596185.7141717905,6452936.673126151,15.026370051658782,125.397
2025,7671378.453556696,6532307.944743093,14.860350797712435,127.984
