year,T1,T2,T3,T4,total,T1_share,T2_share,T3_share,T4_share,narrow_cash_share,broad_liquid_share
2002,153473.2,73911.5,107206.1,165524.7,536319.5,28.616002215097534,13.781244202383094,19.98922284198132,30.863076953196746,28.616002215097534,62.38646925946195
2003,146693.2,78343.0,116547.1,187771.4,564583.9,25.98253333118426,13.876236995068403,20.643008063106297,33.258369570935336,25.98253333118426,60.50177838935896
2004,148796.40000000002,113920.5,41737.200000000004,275997.60000000003,573181.1,25.95975338335476,19.875131960910785,7.281677640801486,48.151901728790435,25.95975338335476,53.11656298506703
2005,193058.6,71204.1,91517.4,289473.10000000003,674100.7,28.639430280965442,10.562828372674886,13.576220882132299,42.94211532490621,28.639430280965442,52.778479535772625
2006,125336.0,168775.3,71240.1,303122.0,660059.2,18.988599810441247,25.5697216249694,10.792986447276247,45.92345656268408,18.988599810441247,55.351307882686896
2007,47730.7,271287.8,22092.399999999994,262639.8,597745.2,7.9851247655355495,45.38519088066287,3.695956069576133,43.938420584556766,7.9851247655355495,57.066271715774555
2008,43266.9,337206.2,-105845.6,113272.4,475505.3,9.099141481703779,70.91533995520135,-22.259604677382146,23.82148001294623,9.099141481703779,57.754876759522986
2009,257538.1,-86010.2,-10646.599999999995,299231.1,536227.3,48.0277859780731,-16.039877119273857,-1.985464000061167,55.803033527013625,48.0277859780731,30.002444858738073
2010,87217.8,68314.8,-50425.600000000006,325939.0,504582.4,17.285145102167654,13.538878882814778,-9.993531284483963,64.5957924810695,17.285145102167654,20.830492700498468
2011,35201.1,128437.5,51518.899999999994,111530.6,379629.80000000005,9.27248071674036,33.832301889893785,13.570826104799988,29.378779010499173,9.27248071674036,56.67560871143414
2012,80703.7,136957.7,-79671.1,151884.9,248588.8,32.4647369471191,55.0940750347562,-32.04935218320375,61.09885079295608,32.4647369471191,55.50945979867154
2013,181448.6,-23570.6,-95640.90000000001,207548.7,299240.8,60.636316972819216,-7.876800222429562,-31.961183100700172,69.35842304926334,60.636316972819216,20.79833364968948
2014,219408.6,-57292.1,-21375.899999999994,215131.6,368580.69999999995,59.5279676879446,-15.543977207705126,-5.799516903625176,58.36757052119116,59.5279676879446,38.1844735766143
2015,335954.1,-137499.2,-44159.100000000006,305226.8,460333.3,72.98062078063873,-29.8694880426856,-9.592853699699763,66.30560943559807,72.98062078063873,33.51827903825337
2016,368087.8,-68566.2,-76371.5,271228.2,484131.69999999995,76.03050987985294,-14.162716467440577,-15.774943057849756,56.023639848413154,76.03050987985294,46.092850354562614
2017,315799.9,-70706.6,79477.69999999998,178530.40000000002,525353.2,60.11192089436213,-13.45886919504821,15.12843169128883,33.98292805678162,60.11192089436213,61.78148339060275
2018,332524.4,-10882.4,26378.600000000002,161526.7,530121.1000000001,62.7261205034095,-2.0528139702418935,4.975957380304235,30.469773793195554,62.7261205034095,65.64926391347184
2019,387416.5,38647.8,509.5,182993.5,654281.3,59.2125283115993,5.90690884792214,0.0778717044182678,27.968627561264547,59.2125283115993,65.19730886393971
2020,685669.1,42156.3,140122.2,188167.2,1115626.6,61.46044742927427,3.7787105470593834,12.55995509608681,16.86650354159716,61.46044742927427,77.79911307242047
2021,503062.5,-3099.9,214784.59999999998,231707.7,1027221.0,48.973151833928625,-0.3017753725829203,20.909288264161262,22.556752636482315,48.973151833928625,69.58066472550696
2022,236656.2,98776.2,218674.7,156582.3,732657.2,32.30108159723265,13.481912141175984,29.846796018656477,21.37183665157457,32.30108159723265,75.62978975706511
2023,-423523.5,527504.2,347184.39999999997,71939.3,619494.0,-68.36603744346192,85.15081663422082,56.04322237180667,11.612590275289188,-68.36603744346192,72.82800156256556
2024,61304.6,279712.4,290493.7,178610.9,821079.2,7.466344294192327,34.066433542586395,35.37949810444596,21.753187755821852,7.466344294192327,76.91227594122468
2025,341324.0,9188.0,255034.5,252889.0,906537.4,37.65139750439419,1.0135268550420533,28.132816141948474,27.896146369691973,37.65139750439419,66.79774050138471
