year,T1,T2,T3,T4,total,T1_share,T2_share,T3_share,T4_share,narrow_cash_share,broad_liquid_share
2001,1384326.0,2839220.4,3504613.0,5520047.6,13702698.9,10.102579134976104,20.720154625889066,25.57607830089589,40.28438222487688,10.102579134976104,56.39881206176106
2002,1530920.8,2927435.0,3205813.8,5676254.7,13824884.1,11.07366100812375,21.17511422753989,23.188720981754923,41.05824438701804,11.07366100812375,55.43749621741857
2003,1740093.5,2935260.7,3444881.3000000003,6082754.3,14706750.6,11.831937232960216,19.95859438862042,23.423809879525667,41.36028729554984,11.831937232960216,55.214341501106304
2004,1887264.2,3043099.3,3621356.2,6579618.0,15631554.5,12.073426222580743,19.467669066438656,23.166961417688817,42.091898153827245,12.073426222580743,54.70805670670822
2005,2238344.3,2964875.6,3895795.1,7424506.8,17048903.1,13.128963704415678,17.390418507334935,22.850708207732144,43.548296077769365,13.128963704415678,53.37009041948276
2006,2375117.9,3118501.3,3971260.1,8236184.699999999,18231801.8,13.02733501633393,17.104734541377034,21.782049539393302,45.17482578161857,13.02733501633393,51.91411909710426
2007,2422695.1,3390260.9,3956593.4000000004,8405107.7,18736239.0,12.930530508283972,18.094671507979804,21.117329897424987,44.860164838845186,12.930530508283972,52.142531913688764
2008,2424669.0,3768513.5,3226876.3,7892644.5,17896911.6,13.54797438905604,21.056781104064903,18.030352790031102,44.10059498757316,13.54797438905604,52.63510828315205
2009,2734169.8,3641131.9,3482219.5999999996,8140502.0,18626758.1,14.678720716301136,19.547856263833694,18.694716392972317,43.70326793474598,14.678720716301136,52.92129337310715
2010,2836711.4,3696959.4,3480970.6,8557667.4,19285747.8,14.708848365216099,19.169385798978457,18.04944581925934,44.3730131117861,14.708848365216099,51.92767998345389
2011,2872004.0,3842628.3,3319481.4000000004,8674495.6,19464621.5,14.754995364281807,19.74160298981411,17.053922163346463,44.565447111314235,14.754995364281807,51.55052051744238
2012,2949194.5,3982161.5,3502626.6999999997,9172308.0,20306250.1,14.523580106993757,19.61052129462347,17.24900797907537,45.1698760471782,14.523580106993757,51.3831093806926
2013,3147736.3,3946615.2,3723844.2,9693464.0,21248668.3,14.81380506090351,18.573470790167118,17.525070971153518,45.61916004872644,14.81380506090351,50.912346822224144
2014,3359118.8,3917690.5,3820151.8,10429929.600000001,22340468.9,15.036026392445148,17.536294862638268,17.09969391018467,46.68626091370894,15.036026392445148,49.672015165268085
2015,3698135.8,3782645.3,3922292.2,11152426.0,23391213.4,15.809935708593896,16.17122307985955,16.768228876916663,47.67784299723417,15.809935708593896,48.74938766537011
2016,4066412.6999999997,3713762.1,3897192.0,12106060.3,24617915.8,16.518103047537437,15.085607287681112,15.830714637508022,49.17581325060832,16.518103047537437,47.434424972726575
2017,4375876.3,3642236.1,4144325.5,12588495.9,25615063.0,17.083215059826323,14.219118258658977,16.179251637991285,49.144895329751876,17.083215059826323,47.48158495647658
2018,4716678.2,3627744.2,3789724.8,12702292.8,25692176.7,18.358421923822437,14.12003444612772,14.750501073737361,49.44031386799547,18.358421923822437,47.22895744368752
2019,5104873.2,3664746.8,4247025.4,13985959.6,27900245.0,18.296875887649016,13.135177845212471,15.222179590179229,50.128447259154896,18.296875887649016,46.654233323040714
2020,5789575.1,3706601.9,4413546.3,14669286.6,29532989.0,19.603755989615546,12.550717098089867,14.94446193712394,49.670849774128854,19.603755989615546,47.09893502482935
2021,6295490.0,3703827.2,5164768.3,15484929.5,31679037.1,19.872731548396715,11.691729102460629,16.30342577552649,48.880682361396644,19.872731548396715,47.86788642638383
2022,6549694.7,3789514.0,4776423.7,14329351.600000001,30506737.0,21.469666519890342,12.421892252848936,15.656947185141433,46.97110543156419,21.469666519890342,49.548505957880714
2023,6124751.3,4323762.8,5561003.9,15391926.5,32534890.6,18.82517871444756,13.289618376648237,17.092431532565225,47.30898495782863,18.82517871444756,49.207228623661024
2024,6205539.0,4615011.2,6298213.8,16034159.8,34312978.2,18.08510751771468,13.449754122479522,18.355194245424023,46.729140520947254,18.08510751771468,49.890055885618224
2025,6547543.6,4619585.9,6949561.399999999,16591348.2,35922546.9,18.226835692432488,12.859850702846463,19.345959570589358,46.18644732008131,18.226835692432488,50.43264596586831
